username,userid,profile_location,created_at,text,retweet_count,source,coordinates
"Dr. Rabid Individualist, Ph.D",1514283146174418950,"Kansas City, MO",2023-01-17 02:46:19,"@Regimin22 @2A_Freedom My guns haven't killed any children, nor do they intend to. Mainly because guns aren't senti… https://t.co/lSTbV4NDAL",0,Twitter for Android,
Mama Bruns.We are VICTORIOUS!🇺🇲,1176754997083684864,Kansas City,2023-01-17 01:59:47,"@LeftHandedLarue It's just part of the $$ game. Set your price, stick to it and just roll your eyes. 
Me personally… https://t.co/3BXOcmpH6q",0,Twitter Web App,
Craig “Homer B” Reed,221831208,"Overland Park, KS",2023-01-17 01:56:23,@johnrich Me too.  We called those boys red necks.  lifted 4x4 s and guns in the window gun racks every damn one.,0,Twitter for iPhone,
KC Rulez,289178889,"Overland Park, KS",2023-01-17 01:55:39,"@axorphanidis @CollinRugg Doesn’t matter if they excited or not, guns did!  It’s not related to any sort of arms, just arms",0,Twitter for iPhone,
Ryan Flanigan,277859219,Lee's Summit MO,2023-01-17 01:34:53,@thealainajames @Jim_Jordan We would have two years of her agenda and actions. She flies off the handle. Either of… https://t.co/hbjU0Yt2EU,0,Twitter for Android,
Jason Alston,20799705,"Kansas City, MO",2023-01-17 00:21:00,"When the din of Pakistan's most notorious weapons market becomes overwhelming, arms dealer Muhammad Jahanzeb slinks… https://t.co/vYdz6s9ag2",0,Twitter Web App,
#Team178Fats,569583897,Kansas City,2023-01-16 23:57:15,"@TheGrainiac First off in ETN Butt chugging beers is mandatory, followed up with guns and beer, then axe throwing at midnight express.",0,Twitter for Android,
Chris Singleton,2295323292,"Kansas City, MO",2023-01-16 23:55:03,"@MAJTOURE Nope! It's not about guns, people harming one another, but opposite (Love)! You are no different from you… https://t.co/RPICL9Ub10",0,Twitter Web App,
KC Sports.,261333674,overland park kansas,2023-01-16 23:54:47,@aileysworld He didn’t say don’t worry about the government he said you need bigger and better guns.  Not reassuring.,0,Twitter for iPhone,
Chris Singleton,2295323292,"Kansas City, MO",2023-01-16 21:12:37,"@greg_price11 Coming from a guy who has machine guns guarding him, but doesn't want you to have protections!... And… https://t.co/i9yHMpnPqa",0,Twitter Web App,
