username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Swarley,54694282,"Olathe, KS",2023-01-20 14:47:14,@SenRickScott So are we cutting our gun budget or food budget? Food. We need our Guns… Democrats focus on dumb stuf… https://t.co/OfPJFGutsF,0,Twitter for iPhone,
🇺🇸 Defend The Constitution,304767486,"Overland Park, KS",2023-01-20 14:29:41,"@cmublock61 @Patigrl And in my hometown area of Mississippi, I can drive through many areas that look exactly like… https://t.co/cTe8FHFMeC",0,Twitter for iPad,
Daniel Scharpenburg,1447458626,"Parkville, MO",2023-01-20 13:50:47,I will always wonder why movies didn’t stop using real guns forever after Brandon Lee died.,1,Twitter for iPhone,
rockcampbell,718373,"Kansas City, MO",2023-01-20 13:22:51,@ClownWorld_ If a person doesn’t know anything about guns why would they ever handle one?,0,Twitter for iPhone,
The Sweet Smell You Adore,18453309,"Kansas City, MO",2023-01-20 13:11:55,@Tarantical I got a reply to one of my tweets trying to sell me guns. 😆,0,Twitter Web App,
Scott Rogers,526035009,"Stilwell, KS",2023-01-20 11:54:35,@Thora_Strong1 But is she smiling or asking how her guns look?,0,Twitter for Android,
KC Rulez,289178889,"Overland Park, KS",2023-01-20 06:19:52,@CPrivano @RitaPanahi @YALiberty Every district has good sections but I would put any amount of money you wanted th… https://t.co/4prxRMgwAX,0,Twitter for iPhone,
FluffyBallsSports,282595902,Kansas City,2023-01-20 05:15:14,@HolderStephen It comes down to personal responsibility for one’s actions. He should have test fired it himself aft… https://t.co/33wkPmduSL,0,Twitter for iPhone,
KC Rulez,289178889,"Overland Park, KS",2023-01-20 05:04:05,"@amalaekpunobi Genuine questions. Have you ever shot a gun, what do you know about guns, can I take you to shoot on… https://t.co/ifra5pBOmp",0,Twitter for iPhone,
KC Rulez,289178889,"Overland Park, KS",2023-01-20 04:44:48,"@MerrittStyles @SydneyLWatson @amalaekpunobi That’s your opinion, families are different.  I was shooting at a very… https://t.co/s97E2StsE8",0,Twitter for iPhone,
KC Rulez,289178889,"Overland Park, KS",2023-01-20 04:38:49,"@amalaekpunobi Exposing isn’t a bad thing either, I was shooting guns at that kids age.  Being taught respect and r… https://t.co/2BqArT8nDD",0,Twitter for iPhone,
@MonicaPantoja-Fuentes15 (Mrs.) NO DM's,3316231015,"Kansas City, MO",2023-01-20 03:32:20,@BrownsFreak51 They should be investigating the person who loaded the guns. Prop man.??,0,Twitter for Android,
FOX4 News Kansas City,6817432,"Kansas City, Mo.",2023-01-20 03:15:15,The Transportation Security Administration has seen a rise in the number of guns found in carry-ons at KCI over the… https://t.co/1eEBjAMlAF,1,TweetDeck,
𝙹𝚞𝚕𝚎𝚜 ☕️ 𝙳𝚒𝚗𝚎𝚛©,331645566,Kansas  City,2023-01-20 02:25:33,"@AConcernedPare2 Guns of Thunder: Faith &amp; Freedom, Book 1 (Faith and Freedom) https://t.co/uB7mI7EFsL by Douglas Bo… https://t.co/rOaR4dFmzj",0,Twitter for iPhone,
Sean Jam,756539676584968192,"Kansas City, MO",2023-01-20 02:18:17,@GuntherEagleman Have two or three good guns and SARP. Then go out and buy a shit load of ammo.,0,Twitter for Android,
Tim Stark,124595135,"Kansas City, MO",2023-01-20 01:55:06,@itsJeffTiedrich Alec shot an unarmed woman by being careless &amp; stupid while glorifying guns. Kyle shot people chas… https://t.co/kEwGZwIbNg,0,Twitter Web App,
StinaG,1859067343,"Kansas City, MO",2023-01-20 01:02:46,@LauraBockov Baldwin's worked with guns before. In one of his interviews afterward he even details the differences… https://t.co/ClFWbT67gr,1,Twitter for Android,
Charles Jay,188621717,"Kansas City, MO",2023-01-20 00:49:09,@BaconShark Duels won’t work because there’s nothing people with guns are more afraid of than other people with guns.,0,Twitter for iPhone,
Becky Meili,485935518,"Gardner, KS",2023-01-20 00:39:53,@offtrackbets @8dollarbluechek @pastorlocke @StephenKing They are an island nation. Probably quite hard to smuggle in guns.,0,Twitter for Android,
Joey Greene,1110305983207796738,Kansas City,2023-01-20 00:28:59,@wyonaf Yep. How long until those are left out in the yard or at the bottom of the toy box with the nurf guns?,0,Twitter Web App,
Existential Mushroom,3302161042,Kansas City ,2023-01-19 22:02:27,"@guncollective Guns outnumber people 120 for every 100.

""You can't uninvent, so educate."" Me",0,Twitter for Android,
JJ,290715830,,2023-01-19 19:23:58,"Slept on couches, sold drugs, been an addict, been stuck in the legal system, lost family/friends, had guns pulled… https://t.co/W4NqNsIqTr",0,Twitter for iPhone,
Bart Ward,726844262541725696,"Overland Park, KS",2023-01-19 19:10:52,"@DocCoyle @RC_PhotoDMR @ESPGuitars Sun's out, guns out, my dude. 😉",0,Twitter for Android,
KC Sports Nut,907060523908431873,"Kansas City, MO",2023-01-19 18:52:50,@midpackergeek @mmpadellan I take it by your question that you have never seen a movie. I implore you to look away… https://t.co/rtJfyrDTVO,0,Twitter for iPhone,
T in KC,76449496,"Kansas City, MO",2023-01-19 18:09:23,America: Republicans have been saying “the left is coming for your guns” for about 40 years. Reality is we have mor… https://t.co/7mdxJQqb5b,3,Twitter for iPhone,
Dale-ish Johnson,49645416,"Kansas City, MO",2023-01-19 18:09:09,@rlj101767 @Galileo242 @MuellerSheWrote It’s a prop gun. It doesn’t matter if the trigger is pulled since only blan… https://t.co/i4FAXZOwU6,0,Twitter for iPad,
Huh?,186455634,Arrowhead stadium,2023-01-19 16:44:50,@JoJoBearDog @Phil_Lewis_ I do know how guns work though and this wouldnt have happened to me.,0,Twitter Web App,
Gavin Fritton 🇺🇦,17052728,"Overland Park, KS",2023-01-19 16:36:20,"You gotta admit, it would be a brilliant surprise move if Obama came to take our guns tonight.",0,Twitter Web App,
The Hand,88034359,"Kansas City, MO",2023-01-19 15:08:56,@bear_dontcare @QuintonLucasKC If @QuintonLucasKC had any common sense he would know that ppl don't replace guns li… https://t.co/HQnP28zltL,0,Twitter for Android,
Station,15271398,basehor kansas,2023-01-19 15:02:50,Guns N' Roses - It's So Easy https://t.co/EP0yUSayJc via @YouTube,0,Twitter Web App,
Mayor Q retweets,1509320595086917636,"Kansas City, MO",2023-01-19 14:48:07,"You can't pick up someone else's phone and start using it, but you can pick up anyone's gun and cause harm to yours… https://t.co/c9aQ4lVVlH",0,Twitter for Android,
Mayor Q,2674399544,"Kansas City, Missouri",2023-01-19 14:45:59,"You can't pick up someone else's phone and start using it, but you can pick up anyone's gun and cause harm to yours… https://t.co/QxteJOSxkT",67,Twitter Web App,
Anon 🌾🌾🌾🌾,297113158,"Lenexa, KS",2023-01-19 14:22:30,@checkmatestate Not a big fan of his stance. The isoceles stance causes a lack of balance backwards and and with a… https://t.co/tylxgBPuJ9,0,Twitter for Android,
Morgan,60915637,"Kansas City, MO",2023-01-19 14:05:19,"In 2021 alone, just four manufacturers accounted for over HALF of recovered guns used in crimes across 31 cities.… https://t.co/6l4Q3wLGOJ",1,Twitter for iPhone,
Chris Lewis (Pretzelbear),901198463932784640,"Shawnee, KS",2023-01-19 14:02:14,"@ShadowKhan2k22 @AceKaller I mean, when I'm making a Shadowrun Samurai, I almost always take three types of rifles,… https://t.co/RipOk39P5v",0,Twitter Web App,
Kev,46575712,"Kansas City, Missouri, USA",2023-01-19 14:01:41,"People can hate Alec Baldwin all they want, but as an actor who has fired guns on screen this could have happened t… https://t.co/z7OnI7mE50",9,Twitter for iPhone,
Patriotmommabear,1149001810465570816,"Kansas City, MO",2023-01-19 13:54:58,@ZaleskiLuke @RepMTG This narrative is weak and untruthful. How much are you getting paid to spread lies? If Trump… https://t.co/Isqhik5lWP,0,Twitter for Android,
cadicusthedamned,75827949,"Kansas City, MO",2023-01-19 13:14:18,"@ksorbs Hey Kev, what role does progesterone play in the female reproductive system? Maybe you should let women con… https://t.co/Tak8qyFeB1",0,Twitter for Android,
ibimiracles.,4198699342,"Kansas City, MO",2023-01-19 09:49:28,@pastorlocke @StephenKing Guns dont kill people. They protect people. I used to listen to you. No more.,0,Twitter for Android,
Eddie Gleason,90946636,"kansas city,missouri",2023-01-19 09:46:24,Rittenhouse made a juvenile decision &amp; now face the consequences of retaliation. RWers aren't loyal w/their friends… https://t.co/7j38O1lydu,1,Twitter Web App,
⚖ MC in KC 🇺🇦💙💛🌻🚜,749857962,"Independence, MO",2023-01-19 06:10:40,"@haileymariep92 @endthemaddness @shannonrwatts He didn't have to use black market.  He removed the guns. 
https://t.co/xvxwoXTBL4",0,Twitter for Android,
Sean Stiggers,816099992,"Kansas City, MO",2023-01-19 06:05:08,@rdrlkrbby2 My dad introduced me to guns at a young age as well...we weren't doing stuff like this but he never hid… https://t.co/WVlgnkGFbe,0,Twitter for Android,
Ryan,1107814465276428291,Kansas City,2023-01-19 05:26:21,@hiphilary @NickAdamsinUSA First of all Nick Adams is a bit. He’s playing a character. Like a “bad guy wrestler”. N… https://t.co/57WRpRnPaU,0,Twitter for iPhone,
Existential Mushroom,3302161042,Kansas City ,2023-01-19 03:41:32,"@billyjacklf @ProudElephantUS Because guns don't kill people, climate change does!",0,Twitter for Android,
Adam Hartzell,769882554,"Kansas City, MO",2023-01-19 03:20:04,@MikeMiss25 Resorting to accidental shooting rates to justify this? What is the homicide rate in the highest regula… https://t.co/lJlPfhb455,0,Twitter for Android,
Michael Schmaltz,544009108,"Overland Park,Kansas",2023-01-19 02:57:28,@KatiePavlich The Five should not be allowed to talk about guns when you are not there.,0,Twitter for iPhone,
Katie 💪🏽🌻❤ Kansas: Forever the Free State,1095863415271317506,"Lenexa, KS",2023-01-19 02:29:54,It's the fucking guns https://t.co/H0X2dWwgKG,0,Twitter for Android,
Chrissy Mullen,1159977645087559680,"Olathe, KS",2023-01-19 01:33:17,@RealMattCouch Where are the parents of this girl &amp; the gang of girls who blocked the hallway?  #Leftists wonder wh… https://t.co/bwP8clk49X,0,Twitter for iPhone,
tsl2018,152426880,"Kansas City, MO",2023-01-19 01:30:22,"@crockpics ""Lawyers, Guns and Money"" https://t.co/RRfDzuvmTF",0,Twitter for Android,
Donavan Ginnings,221095151,"Kansas City, MO",2023-01-18 23:34:39,"@CitizenAmedia @checkmatestate Yep! We were handling guns at a very young age, my brother and I knew not to touch t… https://t.co/UahQRG6Q1y",0,Twitter for iPhone,
Amy Axtell text SOCIAL to 644-33,16806337,Kansas City Missouri,2023-01-18 22:41:34,"@CodyKMBC Students &amp; Teachers &amp; Most Parents already know that ‘school safety’ isn’t the issue.
The school WAS secu… https://t.co/rZZUTKao87",0,Twitter for iPhone,
Cody Holyoke,2571621595,"Kansas City, MO",2023-01-18 21:58:55,Gov. Parson acknowledges tragedy of October shooting at Central Visual and Performing Arts High School in STL. Want… https://t.co/wgx42KIhQx,14,Twitter for iPhone,
Josh Faust,389037656,"Kansas City, MO",2023-01-18 21:39:05,@ksorbs I do know. However does your brain process the ability to understand that not knowing this changes nothing about guns? No.,0,Twitter for iPhone,
Michael Schmaltz,544009108,"Overland Park,Kansas",2023-01-18 20:09:02,@GeraldoRivera Why don’t you know anything about guns Mr.war correspondent ?,0,Twitter for iPhone,
dammit,1233934916489969665,"Kansas City, MO",2023-01-18 19:41:13,@ProtonInspector Guy holding 8 guns watching a tomahawk missile fired from the USS Antietam bearing down on his Hou… https://t.co/BYybbunzd3,18,Twitter for iPhone,
Sholt1,1545760320685228033,"Kansas City, MO",2023-01-18 17:35:20,@Jim_Jordan Well they haven’t taken the guns or the stoves. But you know what many states have taken from folks? A… https://t.co/pCKunfOKZp,0,Twitter for iPhone,
Sam Dawson,238263041,"Kansas City,Mo",2023-01-18 17:30:24,@StudentsDemand Teach kids the benefits of gun ownership and how to be a responsible gun owner. AR15s and high cap… https://t.co/JTcSL8915E,0,Twitter for Android,
The Monster +,36689123,"Kansas City, KS",2023-01-18 17:08:07,"@kwsargent @FormerlyCBM The limiting principle is that if you don't want to do it, you don't take the job.  If some… https://t.co/fYWWvDcoYm",0,TweetDeck,
Grind House Basketball,1950455869,"Kansas City, MO",2023-01-18 16:31:29,@RTNBA Did you really have to use the word YOUNG GUNS 🤣🤣,0,Twitter for iPhone,
MeLiNdA,161734081,Kansas City,2023-01-18 14:35:23,@nathaliejacoby1 Guns,0,Twitter for iPhone,
Xecutioner,820819233722560512,"Kansas City, MO",2023-01-18 14:34:31,@WoodrowForCO @ksorbs Your a beta male democrat... You got no room to talk... Come door to door personally and try… https://t.co/mB786PP0CG,0,Twitter for Android,
Xecutioner,820819233722560512,"Kansas City, MO",2023-01-18 14:33:05,@shaun_obanion @ksorbs You should personally go door to door to collect them... And u can't be armed or have police… https://t.co/4BveghZh9v,0,Twitter for Android,
Joel Tepliid,15234962,"Kansas City, MO",2023-01-18 14:29:56,"@MichaelJStern1 Maga probably 

#0 - Chinese and Fauci engineered an avian flu virus to kill chickens

#4 - somehow… https://t.co/s5kk9lp10B",0,Twitter for iPhone,
Sholt1,1545760320685228033,"Kansas City, MO",2023-01-18 14:11:11,@BenBakerMO What are your thoughts about the 6 year old who took a gun to school and shot his teacher? What is wron… https://t.co/WQdFVu4ibD,0,Twitter for iPhone,
Paul Robert Smith II,1677354350,"Kansas City, MO",2023-01-18 11:10:21,@sayWORD93 Guns ain't to be played with! -fin-,0,Twitter for Android,
GrainOverGrit,1275311598647816193,"Kansas City, MO",2023-01-18 09:45:28,@CraigTheBrute69 @dot3x3q @gunpolicy Even if you don’t buy into the argument that it’s a stepping stone to govt con… https://t.co/UGCYGnckey,0,Twitter for iPhone,
Terry Smith,1553493676659249152,"Kansas City, MO",2023-01-18 04:30:10,@Leenhart @american2084 What's an assault weapon? So there are guns out there that can't be used for assaulting someone??,0,Twitter for Android,
Amy Axtell text SOCIAL to 644-33,16806337,Kansas City Missouri,2023-01-18 03:09:58,"@shannonrwatts There are always red flags.
🚩🚩🚩
Felony Domestic Violence charges should NEVER be plead down in court… https://t.co/X1LpxdU4yC",18,Twitter for iPhone,
OSU1984,1334852045636046849,"Shawnee, KS",2023-01-18 02:56:33,@StudentsDemand Ban democrats from owning guns…Is that far enough?,0,Twitter for iPad,
Rich Curtis,780584262676254720,"Olathe, KS",2023-01-18 01:41:20,"@ksorbs We can comment about anything we like. My kids are more important than your guns

#guns #MDA",0,Twitter for Android,
